# PSIBLAST 2.12.0+
# Iteration: 1
# Query: P39615.1 RecName: Full=Uracil-DNA glycosylase; Short=UDG [Bacillus subtilis subsp. subtilis str. 168]
# Database: ../../data/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 307 hits found
P39615.1	P39615.1	100.000	225	0	0	1	225	1	225	4.20e-172	473
P39615.1	A7ZA24.1	88.444	225	26	0	1	225	1	225	1.83e-155	431
P39615.1	Q65DN9.1	82.667	225	39	0	1	225	1	225	4.72e-145	405
P39615.1	A8FIM7.1	73.333	225	60	0	1	225	1	225	1.95e-131	370
P39615.1	A7GVE5.1	68.444	225	71	0	1	225	1	225	4.28e-119	338
P39615.1	C5D9T3.1	69.820	222	67	0	4	225	3	224	1.01e-116	332
P39615.1	B7GMM1.1	67.556	225	73	0	1	225	1	225	2.68e-116	331
P39615.1	Q5KUD0.1	68.018	222	71	0	4	225	3	224	3.35e-115	329
P39615.1	A4ITQ2.1	68.468	222	70	0	4	225	3	224	1.01e-114	327
P39615.1	Q836Z5.1	68.304	224	71	0	1	224	1	224	3.71e-113	323
P39615.1	A9VSJ0.1	65.333	225	78	0	1	225	1	225	5.64e-110	315
P39615.1	Q630K2.1	64.000	225	81	0	1	225	1	225	2.55e-109	313
P39615.1	B7HYF9.1	64.000	225	81	0	1	225	1	225	2.99e-109	313
P39615.1	Q6HAN7.1	65.333	225	78	0	1	225	1	225	3.26e-109	313
P39615.1	A0RLI1.1	65.333	225	78	0	1	225	1	225	3.91e-109	313
P39615.1	B7JHM3.1	64.889	225	79	0	1	225	1	225	1.03e-108	312
P39615.1	C3LFS7.1	64.889	225	79	0	1	225	1	225	1.13e-108	312
P39615.1	Q9K682.1	64.574	223	79	0	3	225	2	224	1.24e-108	312
P39615.1	Q72X51.1	64.000	225	81	0	1	225	1	225	1.30e-108	311
P39615.1	B8FSV8.1	65.471	223	76	1	3	225	2	223	3.58e-108	310
